case,s-corona,r-corona,r,s,3 discs density,density,type,minpoly r,minpoly s,1-discs,r-discs,s-discs,111,11r,11s,1rr,1rs,1ss,rrr,rrs,rss,sss,minpoly density
1,111,1111,0.414214,0.154701,0.934147,0.950308,E,r^2 + 2*r - 1,3*s^2 + 6*s - 1,2,1,2,0,4,6,0,0,0,0,0,0,0,1296*x^4 - 70848*x^3 + 978696*x^2 - 1218480*x + 277633
2,111,111r,0.280776,0.154701,0.940557,0.950308,E,2*r^2 + 3*r - 1,3*s^2 + 6*s - 1,2,2,2,0,4,6,2,0,0,0,0,0,0,429981696*x^8 - 8169652224*x^7 - 73266342912*x^6 - 153416871936*x^5 - 263255909760*x^4 - 150788729088*x^3 - 39996398412*x^2 - 271377539856*x + 91417336609
3,111,111rr,0.545151,0.154701,0.92284,0.950308,S,r^8 - 8*r^7 - 44*r^6 - 232*r^5 - 482*r^4 - 24*r^3 + 388*r^2 - 120*r + 9,3*s^2 + 6*s - 1,3,3,2,0,6,6,3,0,0,1,0,0,0,531441*x^8 + 42515280*x^7 - 3572936892*x^6 - 218665532880*x^5 + 839575198224*x^4 - 2968865291520*x^3 + 3249268890048*x^2 - 1978695371520*x + 370347023872
4,111,11r1r,0.533296,0.154701,0.928312,0.914179,L,8*r^3 + 3*r^2 - 2*r - 1,3*s^2 + 6*s - 1,2,2,2,0,2,6,4,0,0,0,0,0,0,191102976*x^6 - 278691840*x^5 - 3733490880*x^4 - 13677729984*x^3 + 17921329668*x^2 - 7903973472*x + 1152613849
5,111,11rrr,0.386106,0.154701,0.927625,0.950308,H,9*r^4 - 12*r^3 - 26*r^2 - 12*r + 9,3*s^2 + 6*s - 1,3,7,2,0,6,6,6,0,0,6,0,0,0,104976*x^4 - 186624*x^3 - 617328*x^2 - 317160*x + 151477
6,1111,11r1r,0.533296,0.414214,0.916723,0.920151,E,8*r^3 + 3*r^2 - 2*r - 1,s^2 + 2*s - 1,2,2,1,0,2,4,4,0,0,0,0,0,0,94633984*x^6 - 437137408*x^5 + 822636048*x^4 - 779088832*x^3 + 390013000*x^2 - 100055280*x + 10247041
7,111s,1111,0.414214,0.280776,0.925954,0.931901,E,r^2 + 2*r - 1,2*s^2 + 3*s - 1,2,1,2,0,4,4,0,0,2,0,0,0,0,65536*x^8 - 7176192*x^7 + 153475072*x^6 - 501855744*x^5 + 1038000912*x^4 - 1282425024*x^3 + 996096392*x^2 - 478725456*x + 80586529
8,111s,11r1r,0.533296,0.280776,0.921621,0.931901,E,8*r^3 + 3*r^2 - 2*r - 1,2*s^2 + 3*s - 1,2,2,2,0,2,4,4,0,2,0,0,0,0,2027499441618944*x^12 - 6972449908326400*x^11 + 13251577808683008*x^10 - 18687265215610880*x^9 + 14159072376602624*x^8 - 8595482766295040*x^7 + 1744041302248448*x^6 - 1997432415311872*x^5 + 2989559244283072*x^4 - 4011849474912576*x^3 + 2949581829552196*x^2 - 1078769957952848*x + 146076447991681
9,111s,11rrr,0.386106,0.280776,0.922224,0.931901,E,9*r^4 - 12*r^3 - 26*r^2 - 12*r + 9,2*s^2 + 3*s - 1,5,7,4,2,6,8,6,0,4,6,0,0,0,148325563310951890944*x^16 - 1736330888024250384384*x^15 + 4315739011359112691712*x^14 - 1790990126064466919424*x^13 - 12702004468909696475136*x^12 - 14810337857572461969408*x^11 + 79794249593535735475968*x^10 + 62289421160670736574976*x^9 + 5060868415268911084787*x^8 - 66634064449648398293472*x^7 - 14511862393603594839700*x^6 + 10295932636200695516928*x^5 + 5627765305298737279936*x^4 - 60699580933543391189952*x^3 - 25627165624855606801112*x^2 - 546532939190326128768*x + 3860226645226336285004
10,11ss,111,0.154701,0.101021,0.956369,0.96243,H,3*r^2 + 6*r - 1,s^2 - 10*s + 1,1,1,3,0,3,3,0,0,3,0,0,0,1,11664*x^4 + 31104*x^3 - 85893912*x^2 - 114552864*x + 42831409
